Year,Film,FilmId,NomineeIds
2011,Margin Call,tt1615147,nm1170855
2011,Midnight in Paris,tt1605783,nm0000095
2011,A Separation,tt1832382,nm1410815
2012,Silver Linings Playbook,tt1045658,nm0177896
2012,Lincoln,tt0443272,nm0000358
2012,Les Misérables,tt1707386,nm0413168
2012,The Master,tt1560747,nm0001618
2012,Flight,tt1907668,nm0000243
2012,Argo,tt1024648,nm0000273
2012,Silver Linings Playbook,tt1045658,nm0000134
2012,The Master,tt1560747,nm0000450
2012,Lincoln,tt0443272,nm0000169
2012,Django Unchained,tt1853728,nm0910607
2012,Zero Dark Thirty,tt1790885,nm1567113
2012,Silver Linings Playbook,tt1045658,nm2225369
2012,Amour,tt1602620,nm0728938
2012,Beasts of the Southern Wild,tt2125435,nm4832920
2012,The Impossible,tt1649419,nm0915208
2012,The Master,tt1560747,nm0010736
2012,Lincoln,tt0443272,nm0000398
2012,Les Misérables,tt1707386,nm0004266
2012,The Sessions,tt1866249,nm0000166
2012,Silver Linings Playbook,tt1045658,nm0915865
2012,Brave,tt1217209,nm0028764|nm0152312
2012,Frankenweenie,tt1142977,nm0000318
2012,ParaNorman,tt1623288,nm0271402|nm2752098
2012,The Pirates! Band of Misfits,tt1430626,nm0520485
2012,Wreck-It Ralph,tt1772341,nm0601781
2012,Anna Karenina,tt1781769,nm0568974
2012,Django Unchained,tt1853728,nm0724744
2012,Life of Pi,tt0454876,nm0592073
2012,Lincoln,tt0443272,nm0001405
2012,Skyfall,tt1074638,nm0005683
2012,Anna Karenina,tt1781769,nm0244330
2012,Les Misérables,tt1707386,nm0214625
2012,Lincoln,tt0443272,nm0426693
2012,Mirror Mirror,tt1667353,nm0411130
2012,Snow White and the Huntsman,tt1735898,nm0041181
2012,Amour,tt1602620,nm0359734
2012,Beasts of the Southern Wild,tt2125435,nm1022455
2012,Life of Pi,tt0454876,nm0000487
2012,Lincoln,tt0443272,nm0000229
2012,Silver Linings Playbook,tt1045658,nm0751102
2012,5 Broken Cameras,tt2125423,nm4796818|nm1519079
2012,The Gatekeepers,tt2309788,nm0603466|nm0997268|nm4287643
2012,How to Survive a Plague,tt2124803,nm0289800|nm0314971
2012,The Invisible War,tt2120152,nm0225269|nm0463039
2012,Searching for Sugar Man,tt2125608,nm0070594|nm1187711
2012,Inocente,tt2123210,nm0277658|nm2107225
2012,Kings Point,tt2109153,nm1020490|nm0927086
2012,Mondays at Racine,tt2083264,nm1106629|nm1976219
2012,Open Heart,tt2348322,nm0203400|nm0827659
2012,Redemption,tt2201886,nm0022412|nm2268713
2012,Argo,tt1024648,nm0325549
2012,Life of Pi,tt0454876,nm0820163
2012,Lincoln,tt0443272,nm0434883
2012,Silver Linings Playbook,tt1045658,nm0144203|nm0835370
2012,Zero Dark Thirty,tt1790885,nm0862664|nm0325549
2012,Amour,tt1602620,
2012,Kon-Tiki,tt1613750,
2012,No,tt2059255,
2012,A Royal Affair,tt1276419,
2012,War Witch,tt1820488,
2012,Hitchcock,tt0975645,nm0074205|nm0598713|nm0760407
2012,The Hobbit: An Unexpected Journey,tt0903624,nm0455135|nm0277515|nm0485577
2012,Les Misérables,tt1707386,nm0922509|nm0201757
2012,Anna Karenina,tt1781769,nm0547050
2012,Argo,tt1024648,nm0006035
2012,Life of Pi,tt0454876,nm0002217
2012,Lincoln,tt0443272,nm0002354
2012,Skyfall,tt1074638,nm0002353
2012,Chasing Ice,tt1579361,nm0707775
2012,Ted,tt1637725,nm0614774|nm0532235
2012,Life of Pi,tt0454876,nm0002217|nm1425113
2012,Skyfall,tt1074638,nm2233157|nm2059375
2012,Les Misérables,tt1707386,nm0774744|nm0471014|nm0098842
2012,Amour,tt1602620,nm0617705|nm0036155|nm0374002|nm0441798
2012,Argo,tt1024648,nm0381416|nm0000255|nm0000123
2012,Beasts of the Southern Wild,tt2125435,nm1885766|nm3017255|nm1886653
2012,Django Unchained,tt1853728,nm0792049|nm0399737|nm0767894
2012,Les Misérables,tt1707386,nm0079677|nm0271479|nm0371735|nm0533583
2012,Life of Pi,tt0454876,nm0626696|nm0000487|nm0003720
2012,Lincoln,tt0443272,nm0000229|nm0005086
2012,Silver Linings Playbook,tt1045658,nm0317642|nm0169260|nm0330335
2012,Zero Dark Thirty,tt1790885,nm1676793|nm0000941|nm2691892
2012,Anna Karenina,tt1781769,nm0339391|nm0818005
2012,The Hobbit: An Unexpected Journey,tt0903624,nm0377172|nm1308151|nm0109186
2012,Les Misérables,tt1707386,nm0829378|nm0528498
2012,Life of Pi,tt0454876,nm0343222|nm0003519
2012,Lincoln,tt0443272,nm0141437|nm1075312
2012,Adam and Dog,tt2162565,nm3767356
2012,Fresh Guacamole,tt2309977,nm1396934
2012,Head over Heels,tt2391009,nm3302450|nm2154065
2012,"Maggie Simpson in \""The Longest Daycare\""",tt2175842,nm0798899
2012,Paperman,tt2388725,nm0434969
2012,Asad,tt2136747,nm1519252|nm3802523
2012,Buzkashi Boys,tt2133304,nm2125396|nm2393874
2012,Curfew,tt2088735,nm0159900
2012,Death of a Shadow (Dood van een Schaduw),tt2312702,nm2429966|nm1743520
2012,Henry,tt2004244,nm0257471
2012,Argo,tt1024648,nm0007321|nm0886399
2012,Django Unchained,tt1853728,nm0823758
2012,Life of Pi,tt0454876,nm0311267|nm0830958
2012,Skyfall,tt1074638,nm0356319|nm0048623
2012,Zero Dark Thirty,tt1790885,nm0653338
2012,Argo,tt1024648,nm0718676|nm0748832|nm0306223
2012,Les Misérables,tt1707386,nm0625144|nm2296910|nm1536532
2012,Life of Pi,tt0454876,nm0058897|nm0376153|nm0475168
2012,Lincoln,tt0443272,nm0625144|nm0003977|nm0431954
2012,Skyfall,tt1074638,nm0586793|nm0751169|nm0934184
2012,The Hobbit: An Unexpected Journey,tt0903624,nm0504784|nm0756590|nm2238085|nm0925341
2012,Life of Pi,tt0454876,nm0922543|nm1806981|nm0207487|nm0254433
2012,Marvel's The Avengers,tt0848228,nm0802938|nm1578635|nm1401413|nm0837203
2012,Prometheus,tt1446714,nm0821868|nm0940058|nm0377111|nm2243342
2012,Snow White and the Huntsman,tt1735898,nm1031639|nm1184514|nm0179273|nm0206207
2012,Argo,tt1024648,nm0006516
2012,Beasts of the Southern Wild,tt2125435,nm3599054|nm1022455
2012,Life of Pi,tt0454876,nm1341735
2012,Lincoln,tt0443272,nm1065785
2012,Silver Linings Playbook,tt1045658,nm0751102
2012,Amour,tt1602620,nm0359734
2012,Django Unchained,tt1853728,nm0000233
2012,Flight,tt1907668,nm0309691
2012,Moonrise Kingdom,tt1748122,nm0027572|nm0178910
2012,Zero Dark Thirty,tt1790885,nm1676793
2013,American Hustle,tt1800241,nm0000288
2013,Nebraska,tt1821549,nm0001136
2013,The Wolf of Wall Street,tt0993846,nm0000138
2013,12 Years a Slave,tt2024544,nm0252230
2013,Dallas Buyers Club,tt0790636,nm0000190
2013,Captain Phillips,tt1535109,nm5831542
2013,American Hustle,tt1800241,nm0177896
2013,12 Years a Slave,tt2024544,nm1055413
2013,The Wolf of Wall Street,tt0993846,nm1706767
2013,Dallas Buyers Club,tt0790636,nm0001467
2013,American Hustle,tt1800241,nm0010736
2013,Blue Jasmine,tt2334873,nm0000949
2013,Gravity,tt1454468,nm0000113
2013,Philomena,tt2431286,nm0001132
2013,August: Osage County,tt1322269,nm0000658
2013,Blue Jasmine,tt2334873,nm1020089
2013,American Hustle,tt1800241,nm2225369
2013,12 Years a Slave,tt2024544,nm2143282
2013,August: Osage County,tt1322269,nm0000210
2013,Nebraska,tt1821549,nm0820053
2013,The Croods,tt0481499,nm0761498|nm0210320|nm0069549
2013,Despicable Me 2,tt1690953,nm0719208|nm1853544|nm0577560
2013,Ernest & Celestine,tt1816518,nm2883649|nm0116369
2013,Frozen,tt2294629,nm0118333|nm1601644|nm1275326
2013,The Wind Rises,tt2013293,nm0594503|nm0840699
2013,The Grandmaster,tt1462900,nm0494628
2013,Gravity,tt1454468,nm0523881
2013,Inside Llewyn Davis,tt2042568,nm0216632
2013,Nebraska,tt1821549,nm0003659
2013,Prisoners,tt1392214,nm0005683
2013,American Hustle,tt1800241,nm0929452
2013,The Grandmaster,tt1462900,nm0151858
2013,The Great Gatsby,tt1343092,nm0552039
2013,The Invisible Woman,tt1700845,nm0640445
2013,12 Years a Slave,tt2024544,nm0635876
2013,American Hustle,tt1800241,nm0751102
2013,Gravity,tt1454468,nm0190859
2013,Nebraska,tt1821549,nm0668247
2013,12 Years a Slave,tt2024544,nm2588606
2013,The Wolf of Wall Street,tt0993846,nm0000217
2013,The Act of Killing,tt2375605,nm1484791|nm1718147
2013,Cutie and the Boxer,tt2355540,nm2784978|nm0212990
2013,Dirty Wars,tt2532528,nm0746823|nm1568139
2013,The Square,tt2486682,nm0636675|nm5255757
2013,20 Feet from Stardom,tt2396566,nm1365879|nm0295648|nm2868934
2013,CaveDigger,tt2516860,nm5366058
2013,Facing Fear,tt2776636,nm0169474
2013,Karama Has No Walls,tt2551790,nm5390809
2013,The Lady in Number 6: Music Saved My Life,tt2924484,nm0164885|nm3760504
2013,Prison Terminal: The Last Days of Private Jack Hall,tt3145026,nm4767836
2013,American Hustle,tt1800241,nm0144203|nm0835370|nm0062328
2013,Captain Phillips,tt1535109,nm0002582
2013,Dallas Buyers Club,tt0790636,nm0885249|nm3819839
2013,Gravity,tt1454468,nm0190859|nm0002747
2013,12 Years a Slave,tt2024544,nm0907863
2013,The Broken Circle Breakdown,tt2024519,
2013,The Great Beauty,tt2358891,
2013,The Hunt,tt2106476,
2013,The Missing Picture,tt2852470,
2013,Omar,tt2852406,
2013,Dallas Buyers Club,tt0790636,nm0496759|nm0560165
2013,Jackass Presents: Bad Grandpa,tt3063516,nm0698990
2013,The Lone Ranger,tt1210819,nm0363355|nm0664675
2013,The Book Thief,tt0816442,nm0002354
2013,Gravity,tt1454468,nm1888527
2013,Her,tt1798709,nm1372622|nm2564754
2013,Philomena,tt2431286,nm0006035
2013,Saving Mr. Banks,tt2140373,nm0002353
2013,Alone Yet Not Alone,tt1986769,nm0005976|nm0818525
2013,Despicable Me 2,tt1690953,nm1214289
2013,Frozen,tt2294629,nm2844448|nm0520188
2013,Her,tt1798709,nm1760393|nm0005069
2013,Mandela: Long Walk to Freedom,tt2304771,nm0095104|nm0857253|nm0165651|nm0611979
2013,American Hustle,tt1800241,nm0746273|nm0837112|nm2691892|nm0330335
2013,Captain Phillips,tt1535109,nm0748784|nm0116232|nm0006894
2013,Dallas Buyers Club,tt0790636,nm0107509|nm0292647
2013,Gravity,tt1454468,nm0190859|nm0382268
2013,Her,tt1798709,nm2691892|nm0005069|nm0484504
2013,Nebraska,tt1821549,nm0074100|nm0947695
2013,Philomena,tt2431286,nm0848932|nm0176869|nm0780870
2013,12 Years a Slave,tt2024544,nm0000093|nm0306890|nm1250070|nm2588606|nm0441097
2013,The Wolf of Wall Street,tt0993846,nm0000217|nm0000138|nm2110175|nm0863374
2013,American Hustle,tt1800241,nm0065473|nm1346736
2013,Gravity,tt1454468,nm0629772|nm2532784|nm0941219
2013,The Great Gatsby,tt1343092,nm0552039|nm1427646
2013,Her,tt1798709,nm0057187|nm0784922
2013,12 Years a Slave,tt2024544,nm1360914|nm0048212
2013,Feral,tt2499022,nm1009789|nm3196711
2013,Get a Horse!,tt2980764,nm0534041|nm1545668
2013,Mr. Hublot,tt3043542,nm5793837|nm3115348
2013,Possessions,tt3080074,nm1557215
2013,Room on the Broom,tt2484120,nm3495071|nm3936610
2013,Aquel No Era Yo (That Wasn't Me),tt2372213,nm1878916
2013,Avant Que De Tout Perdre (Just before Losing Everything),tt2689992,nm0499488|nm0308009
2013,Helium,tt3346410,nm2225334|nm0536385
2013,Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),tt2256646,nm1437990|nm2798718
2013,The Voorman Problem,tt1998355,nm4317210|nm3172989
2013,All Is Lost,tt2017038,nm0006655|nm0405232
2013,Captain Phillips,tt1535109,nm0850549
2013,Gravity,tt1454468,nm0293634
2013,The Hobbit: The Desolation of Smaug,tt1170358,nm0121151|nm0911446
2013,Lone Survivor,tt1091191,nm0823758
2013,Captain Phillips,tt1535109,nm0121006|nm0852837|nm0696523|nm0613101
2013,Gravity,tt1454468,nm0509792|nm1866364|nm1666163|nm0613101
2013,The Hobbit: The Desolation of Smaug,tt1170358,nm0102110|nm0373276|nm0783713|nm0426357
2013,Inside Llewyn Davis,tt2042568,nm0509792|nm0650088|nm0004212
2013,Lone Survivor,tt1091191,nm0468701|nm0003311|nm0115244
2013,Gravity,tt1454468,nm0916449|nm1165856|nm1874068|nm0179273
2013,The Hobbit: The Desolation of Smaug,tt1170358,nm0504784|nm0756590|nm2238085|nm0721708
2013,Iron Man 3,tt1300854,nm0870102|nm1401413|nm0621716|nm0837203
2013,The Lone Ranger,tt1210819,nm0018780|nm1819614|nm0930510|nm0292594
2013,Star Trek Into Darkness,tt1408101,nm0004361|nm0875604|nm1322973|nm0198245
2013,Before Midnight,tt2209418,nm0000500|nm0000365|nm0000160
2013,Captain Phillips,tt1535109,nm0712753
2013,Philomena,tt2431286,nm0176869|nm0691131
2013,12 Years a Slave,tt2024544,nm0725983
2013,The Wolf of Wall Street,tt0993846,nm1010540
2013,American Hustle,tt1800241,nm2545235|nm0751102
2013,Blue Jasmine,tt2334873,nm0000095
2013,Dallas Buyers Club,tt0790636,nm1258965|nm2214893
2013,Her,tt1798709,nm0005069
2013,Nebraska,tt1821549,nm1504572
2014,Foxcatcher,tt1100089,nm0136797
2014,American Sniper,tt2179136,nm0177896
2014,The Imitation Game,tt2084970,nm1212722
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0000474
2014,The Theory of Everything,tt2980516,nm1519666
2014,The Judge,tt1872194,nm0000380
2014,Boyhood,tt1065073,nm0000160
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0001570
2014,Foxcatcher,tt1100089,nm0749263
2014,Whiplash,tt2582802,nm0799777
2014,"Two Days, One Night",tt2737050,nm0182839
2014,The Theory of Everything,tt2980516,nm0428065
2014,Still Alice,tt3316960,nm0000194
2014,Gone Girl,tt2267998,nm0683253
2014,Wild,tt2305051,nm0000702
2014,Boyhood,tt1065073,nm0000099
2014,Wild,tt2305051,nm0000368
2014,The Imitation Game,tt2084970,nm0461136
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm1297015
2014,Into the Woods,tt2180411,nm0000658
2014,Big Hero 6,tt2245084,nm2320658|nm0930261|nm0174807
2014,The Boxtrolls,tt0787474,nm0820934|nm0030253|nm1325899
2014,How to Train Your Dragon 2,tt1646971,nm0213450|nm0036366
2014,Song of the Sea,tt1865505,nm1119079|nm2727721
2014,The Tale of the Princess Kaguya,tt2576852,nm0847223|nm2052679
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0523881
2014,The Grand Budapest Hotel,tt2278388,nm0005934
2014,Ida,tt2718492,nm2617994|nm0501755
2014,Mr. Turner,tt2473794,nm0005836
2014,Unbroken,tt1809398,nm0005683
2014,The Grand Budapest Hotel,tt2278388,nm0134382
2014,Inherent Vice,tt1791528,nm0108775
2014,Into the Woods,tt2180411,nm0041181
2014,Maleficent,tt1587310,nm0081318
2014,Mr. Turner,tt2473794,nm0244330
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0327944
2014,Boyhood,tt1065073,nm0000500
2014,Foxcatcher,tt1100089,nm0587955
2014,The Grand Budapest Hotel,tt2278388,nm0027572
2014,The Imitation Game,tt2084970,nm0878763
2014,CitizenFour,tt4044364,nm0688636|nm0094850|nm0934406
2014,Finding Vivian Maier,tt2714900,nm5525244|nm0803020
2014,Last Days in Vietnam,tt3279124,nm0448311|nm2222778
2014,The Salt of the Earth,tt3674140,nm0000694|nm2081382|nm6514669
2014,Virunga,tt3455224,nm3915542|nm3319085
2014,Crisis Hotline: Veterans Press 1,tt3449252,nm0329651|nm0675017
2014,Joanna,tt2976354,nm5098826
2014,Our Curse,tt3069992,nm4724948|nm0805751
2014,The Reaper (La Parka),tt3438472,nm4717581
2014,White Earth,tt3044564,nm2650005
2014,American Sniper,tt2179136,nm0185088|nm0730013
2014,Boyhood,tt1065073,nm0010471
2014,The Grand Budapest Hotel,tt2278388,nm1306189
2014,The Imitation Game,tt2084970,nm0325549
2014,Whiplash,tt2582802,nm0189285
2014,Ida,tt2718492,
2014,Leviathan,tt2802154,
2014,Tangerines,tt2991224,
2014,Timbuktu,tt3409392,
2014,Wild Tales,tt3011894,
2014,Foxcatcher,tt1100089,nm0181134|nm0509187
2014,The Grand Budapest Hotel,tt2278388,nm0360470|nm0183418
2014,Guardians of the Galaxy,tt2015381,nm0947958|nm0924675
2014,The Grand Budapest Hotel,tt2278388,nm0006035
2014,The Imitation Game,tt2084970,nm0006035
2014,Interstellar,tt0816692,nm0001877
2014,Mr. Turner,tt2473794,nm0947665
2014,The Theory of Everything,tt2980516,nm0433580
2014,The Lego Movie,tt1490017,nm0666405
2014,Selma,tt1020072,nm1775466|nm0996669
2014,Beyond the Lights,tt3125324,nm0005534
2014,Glen Campbell...I'll Be Me,tt2049586,nm0004794|nm0713305
2014,Begin Again,tt1980929,nm1353967|nm0109815
2014,American Sniper,tt2179136,nm0000142|nm0520749|nm0493662|nm0177896|nm0604950
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0327944|nm0971956|nm0804739
2014,Boyhood,tt1065073,nm0000500|nm0840060
2014,The Grand Budapest Hotel,tt2278388,nm0027572|nm0748784|nm2262509|nm0206154
2014,The Imitation Game,tt2084970,nm3860486|nm1755470|nm3267061
2014,Selma,tt1020072,nm1384503|nm0001856|nm0306890|nm1250070
2014,The Theory of Everything,tt2980516,nm0079677|nm0271479|nm0115537|nm0565026
2014,Whiplash,tt2582802,nm0089658|nm2615685|nm0484123
2014,The Grand Budapest Hotel,tt2278388,nm1360914|nm0003519
2014,The Imitation Game,tt2084970,nm0229319|nm0526248
2014,Interstellar,tt0816692,nm0189769|nm0275361
2014,Into the Woods,tt2180411,nm0309357|nm0003519
2014,Mr. Turner,tt2473794,nm0203990|nm0915117
2014,The Bigger Picture,tt3610188,nm4441366|nm3576330
2014,The Dam Keeper,tt3326262,nm2937142|nm1156606
2014,Feast,tt3689498,nm2444148|nm0715534
2014,Me and My Moulton,tt3946086,nm0468380
2014,A Single Life,tt3838700,nm1977837
2014,Aya,tt2326094,nm1729068|nm1729072
2014,Boogaloo and Graham,tt3612232,nm3156269|nm3905562
2014,Butter Lamp (La Lampe Au Beurre De Yak),tt2922078,nm5130656|nm0299676
2014,Parvaneh,tt3008010,nm4422449|nm3022531
2014,The Phone Call,tt3071532,nm2375389|nm5819328
2014,American Sniper,tt2179136,nm0614812|nm0039544
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0380057|nm0321790
2014,The Hobbit: The Battle of the Five Armies,tt2310332,nm0121151|nm0134417
2014,Interstellar,tt0816692,nm0455185
2014,Unbroken,tt1809398,nm0167915|nm0214014
2014,American Sniper,tt2179136,nm0718676|nm0748832|nm0553190
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0852656|nm0599057|nm0889746
2014,Interstellar,tt0816692,nm0729886|nm0484414|nm0918319
2014,Unbroken,tt1809398,nm0852656|nm0599057|nm1325883
2014,Whiplash,tt2582802,nm1023649|nm0929240|nm1093577
2014,Captain America: The Winter Soldier,tt1843866,nm0216699|nm0247270|nm0341985|nm0837203
2014,Dawn of the Planet of the Apes,tt2103281,nm0504784|nm0501424|nm2280778|nm0935445
2014,Guardians of the Galaxy,tt2015381,nm0148547|nm1212365|nm1000834|nm0179274
2014,Interstellar,tt0816692,nm0291518|nm0516916|nm0402843|nm0279782
2014,X-Men: Days of Future Past,tt1877832,nm0821868|nm1022027|nm0188963|nm0907030
2014,American Sniper,tt2179136,nm0355699
2014,The Imitation Game,tt2084970,nm2441699
2014,Inherent Vice,tt1791528,nm0000759
2014,The Theory of Everything,tt2980516,nm0565026
2014,Whiplash,tt2582802,nm3227090
2014,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,nm0327944|nm1481172|nm5409486|nm3174584
2014,Boyhood,tt1065073,nm0000500
2014,Foxcatcher,tt1100089,nm0296861|nm0001246
2014,The Grand Budapest Hotel,tt2278388,nm0027572|nm2450453
2014,Nightcrawler,tt2872718,nm0319659
2015,Trumbo,tt3203606,nm0186505
2015,The Martian,tt3659388,nm0000354
2015,The Revenant,tt1663202,nm0000138
2015,Steve Jobs,tt2080374,nm1055413
2015,The Danish Girl,tt0810819,nm1519666
2015,The Big Short,tt1596363,nm0000288
2015,The Revenant,tt1663202,nm0362766
2015,Spotlight,tt1895587,nm0749263
2015,Bridge of Spies,tt3682448,nm0753314
2015,Creed,tt3076658,nm0000230
2015,Carol,tt2402927,nm0000949
2015,Room,tt3170832,nm0488953
2015,Joy,tt2446980,nm2225369
2015,45 Years,tt3544082,nm0001648
2015,Brooklyn,tt2381111,nm1519680
2015,The Hateful Eight,tt3460252,nm0000492
2015,Carol,tt2402927,nm1913734
2015,Spotlight,tt1895587,nm1046097
2015,The Danish Girl,tt0810819,nm2539953
2015,Steve Jobs,tt2080374,nm0000701
2015,Anomalisa,tt2401878,nm0442109|nm2122478|nm1533266
2015,Boy and the World,tt3183630,nm0994245
