imdb.id,title.mixed,sample.year.first,fest.first,,,,,
tt7112154,Asako I & II,2018,TIFF,,,,,
tt5501104,Border,2018,TIFF,,,,,
tt2837574,The Old Man & the Gun,2018,TIFF,,,,,
tt1226837,Beautiful Boy,2018,TIFF,,,,,
tt6874254,Out of Blue,2018,TIFF,,,,,
tt7074886,The Front Runner,2018,TIFF,,,,,
tt5855772,Sunset,2018,TIFF,,,,,
tt8267604,Capernaum,2018,TIFF,,,,,
tt7464188,In Fabric,2018,TIFF,,,,,
tt4595882,Can You Ever Forgive Me?,2018,TIFF,,,,,
tt7125860,If Beale Street Could Talk,2018,TIFF,,,,,
tt2368254,A Private War,2018,TIFF,,,,,
tt1502407,Halloween,2018,TIFF,,,,,
tt5580266,The Hate U Give,2018,TIFF,,,,,
tt8286894,Rafiki,2018,TIFF,,,,,
tt8449092,The Fireflies Are Gone,2018,TIFF,,,,,
tt6386748,Birds of Passage,2018,TIFF,,,,,
tt7298400,Ash Is Purest White,2018,TIFF,,,,,
tt7318102,Angelo,2018,TIFF,,,,,
tt7545524,Ben Is Back,2018,TIFF,,,,,
tt7775622,Free Solo,2018,TIFF,,,,,
tt2639336,Greta,2018,TIFF,,,,,
tt7241926,Tell It to the Bees,2018,TIFF,,,,,
tt8228538,Papi Chulo,2018,TIFF,,,,,
tt6043142,Skin,2018,TIFF,,,,,
tt5592796,Driven,2018,TIFF,,,,,
tt7069496,Firecrackers,2018,TIFF,,,,,
tt1235187,Where Hands Touch,2018,TIFF,,,,,
tt6902696,Gloria Bell,2018,TIFF,,,,,
tt5461944,Hotel Mumbai,2018,TIFF,,,,,
tt5311542,Never Look Away,2018,TIFF,,,,,
tt5149490,Gwen,2018,TIFF,,,,,
tt4465572,American Woman,2018,TIFF,,,,,
tt1127881,Farming,2018,TIFF,,,,,
tt7942742,Her Smell,2018,TIFF,,,,,
tt4827558,High Life,2018,TIFF,,,,,
tt6866224,The Hummingbird Project,2018,TIFF,,,,,
tt8811382,Meeting Gorbachev,2018,TIFF,,,,,
tt7615302,Red Joan,2018,TIFF,,,,,
tt7692966,The Third Wife,2018,TIFF,,,,,
tt7645780,The Wedding Guest,2018,TIFF,,,,,
tt8426594,The Wind,2018,TIFF,,,,,
tt8819192,Women Make Film: A New Road Movie Through Cinema,2018,TIFF,,,,,
tt6365796,The Grizzlies,2018,TIFF,,,,,
tt3208026,Black '47,2018,TIFF,,,,,
tt3294746,The Public,2018,TIFF,,,,,
tt8689644,Hearts and Bones,2019,TIFF,,,,,
tt5905336,Stories from the Chestnut Woods,2019,TIFF,,,,,
tt10883740,Africa,2019,TIFF,,,,,
tt10260042,Antigone,2019,TIFF,,,,,
tt9143636,Guest of Honour,2019,TIFF,,,,,
tt10334456,Once Were Brothers,2019,TIFF,,,,,
tt9386648,View title page for Tammy's Always Dying,2019,TIFF,,,,,
tt8461156,View title page for The Last Porno Show,2019,TIFF,,,,,
tt8892632,View title page for Black Conflux,2019,TIFF,,,,,
tt3689484,View title page for Castle in the Ground,2019,TIFF,,,,,
tt5919756,View title page for Disappearance at Clifton Hill,2019,TIFF,,,,,
tt10655608,View title page for David Foster: Off the Record,2019,TIFF,,,,,
tt9057620,View title page for Easy Land,2019,TIFF,,,,,
tt4292432,View title page for Kuessipan,2019,TIFF,,,,,
tt9169036,View title page for White Lie,2019,TIFF,,,,,
tt8230872,View title page for The Body Remembers When the World Broke Open,2019,TIFF,,,,,
tt1657517,View title page for The Song of Names,2019,TIFF,,,,,
tt10874006,"View title page for Anne at 13,000 Ft.",2019,TIFF,,,,,
tt10864040,View title page for There's Something in the Water,2019,TIFF,,,,,
tt10441486,View title page for And the Birds Rained Down,2019,TIFF,,,,,
tt10793310,View title page for Coppers,2019,TIFF,,,,,
tt7969836,View title page for The Twentieth Century,2019,TIFF,,,,,
tt10475900,View title page for Murmur,2019,TIFF,,,,,
tt8359842,View title page for It Must Be Heaven,2019,TIFF,,,,,
tt9109492,View title page for American Woman,2019,TIFF,,,,,
tt10758534,View title page for One Day in the Life of Noah Piugattuk,2019,TIFF,,,,,
tt6489562,View title page for Sweetness in the Belly,2019,TIFF,,,,,
tt8584722,View title page for The Rest of Us,2019,TIFF,,,,,
tt10728282,View title page for This Is Not a Movie,2019,TIFF,,,,,
tt10716712,View title page for Raf,2019,TIFF,,,,,
tt10079636,View title page for This Ink Runs Deep,2019,TIFF,,,,,
tt10963308,View title page for Rebel,2019,TIFF,,,,,
tt7725384,View title page for 1982,2019,TIFF,,,,,
tt4516162,View title page for Martin Eden,2019,TIFF,,,,,
tt10298454,View title page for The Moneychanger,2019,TIFF,,,,,
tt6290584,View title page for My Zoe,2019,TIFF,,,,,
tt7374926,View title page for Proxima,2019,TIFF,,,,,
tt9067182,View title page for Rocks,2019,TIFF,,,,,
tt5363618,View title page for Sound of Metal,2019,TIFF,,,,,
tt9822706,View title page for Wet Season,2019,TIFF,,,,,
tt9451096,View title page for Workforce,2019,TIFF,,,,,
tt10899680,View title page for The Sleepwalkers,2019,TIFF,,,,,
tt10519554,View title page for Delphine,2019,TIFF,,,,,
tt10471716,View title page for I Am in the World as Free and Slender as a Deer on a Plain,2019,TIFF,,,,,
tt8755868,View title page for Please Speak Continuously and Describe Your Experiences as They Come to You,2019,TIFF,,,,,
tt10217024,View title page for Oracle,2019,TIFF,,,,,
tt10418008,View title page for It's Nothing,2019,TIFF,,,,,
tt9675138,View title page for Measure,2019,TIFF,,,,,
tt10519238,View title page for Volcano,2019,TIFF,,,,,
tt10777188,View title page for Now Is the Time,2019,TIFF,,,,,
tt10368274,View title page for I'll End Up in Jail,2019,TIFF,,,,,
tt10329270,View title page for The Depths,2019,TIFF,,,,,
tt10893130,View title page for Hot Flash,2019,TIFF,,,,,
tt11454944,View title page for The Physics of Sorrow,2019,TIFF,,,,,
tt10882960,View title page for 2008,2019,TIFF,,,,,
tt10413396,View title page for No Crying at the Dinner Table,2019,TIFF,,,,,
tt10586744,View title page for Life Support,2019,TIFF,,,,,
tt10367274,View title page for Jarvik,2019,TIFF,,,,,
tt10623508,View title page for All Cats Are Grey in the Dark,2019,TIFF,,,,,
tt5520360,View title page for Half a Man,2019,TIFF,,,,,
tt9842732,View title page for Anna,2019,TIFF,,,,,
tt10219160,View title page for She Runs,2019,TIFF,,,,,
tt10651850,View title page for Nimic,2019,TIFF,,,,,
tt10839386,View title page for Daddio,2019,TIFF,,,,,
tt10219324,View title page for All Inclusive,2019,TIFF,,,,,
tt10765482,View title page for Ani,2019,TIFF,,,,,
tt10431376,View title page for Darling,2019,TIFF,,,,,
tt10151858,View title page for Lucia in Limbo,2019,TIFF,,,,,
tt10687124,View title page for Hello Ahma,2019,TIFF,,,,,
tt10864666,View title page for Route-3,2019,TIFF,,,,,
tt10055160,View title page for Thirsty,2019,TIFF,,,,,
tt10341088,View title page for Are You Hungry?,2019,TIFF,,,,,
tt10224888,View title page for And Then the Bear,2019,TIFF,,,,,
tt9135282,View title page for Reminiscences of the Green Revolution,2019,TIFF,,,,,
tt10325740,View title page for Toomas Beneath the Valley of the Wild Wolves,2019,TIFF,,,,,
tt11341446,View title page for Something to Remember,2019,TIFF,,,,,
tt10304042,View title page for Exam,2019,TIFF,,,,,
tt9482860,View title page for The Raft,2019,TIFF,,,,,
tt10923028,View title page for Barakat,2019,TIFF,,,,,
tt10923060,View title page for Bare Trees in the Mist,2019,TIFF,,,,,
tt10576452,View title page for Sadla,2019,TIFF,,,,,
tt10913328,View title page for A Fool God,2019,TIFF,,,,,
tt10307058,View title page for Why Slugs Have No Legs,2019,TIFF,,,,,
tt10224960,View title page for The Nap,2019,TIFF,,,,,
tt10923134,View title page for Daughter,2019,TIFF,,,,,
tt8081060,View title page for Paperboy,2019,TIFF,,,,,
tt10603466,View title page for A Febre,2019,TIFF,,,,,
tt6463320,View title page for Zana,2019,TIFF,,,,,
tt4193072,View title page for How to Build a Girl,2019,TIFF,,,,,
tt7178226,View title page for The Cave,2019,TIFF,,,,,
tt10773380,View title page for I Am Not Alone,2019,TIFF,,,,,
tt10883124,View title page for Dads,2019,TIFF,,,,,
tt8228288,View title page for The Platform,2019,TIFF,,,,,
tt6803046,View title page for The Vast of Night,2019,TIFF,,,,,
tt7394674,View title page for Blood Quantum,2019,TIFF,,,,,
tt2584384,View title page for Jojo Rabbit,2019,TIFF,,,,,
tt7653254,View title page for Marriage Story,2019,TIFF,,,,,
tt6751668,View title page for Parasite,2019,TIFF,,,,,
tt9581076,"View title page for So Long, My Son",2019,TIFF,,,,,
tt8147262,View title page for Made in Bangladesh,2019,TIFF,,,,,
tt9076466,View title page for Flowers of the Field,2019,TIFF,,,,,
tt5073642,Color Out of Space,2019,TIFF,,,,,
tt9770150,Nomadland,2020,TIFF,,,,,
tt10612922,One Night in Miami...,2020,TIFF,,,,,
tt11735544,Beans,2020,TIFF,,,,,
tt12800946,180 Degree Rule,2020,TIFF,,,,,
tt8891904,Inconvenient Indian,2020,TIFF,,,,,
tt11161474,Pieces of a Woman,2020,TIFF,,,,,
tt11317142,Shiva Baby,2020,TIFF,,,,,
tt11187454,Trickster,2020,TIFF,,,,,
tt8132778,Night of the Kings,2020,TIFF,,,,,
tt9143112,Falling,2020,TIFF,,,,,
tt12786834,No Ordinary Man,2020,TIFF,,,,,
tt12801798,Fauna,2020,TIFF,,,,,
tt12575636,The New Corporation: The Unfortunately Necessary Sequel,2020,TIFF,,,,,
tt12801814,Violation,2020,TIFF,,,,,
tt12779696,Akilla's Escape,2020,TIFF,,,,,
tt11692148,Gaza mon amour,2020,TIFF,,,,,
tt8310474,Bruised,2020,TIFF,,,,,
tt10795574,A Suitable Boy,2020,TIFF,,,,,
tt12575606,"Benjamin, Benny, Ben",2020,TIFF,,,,,
tt12816868,Point and Line to Plane,2020,TIFF,,,,,
tt12330544,Succor,2020,TIFF,,,,,
tt12974790,4 North A,2020,TIFF,,,,,
tt12974802,As Spring Comes (Comme la neige au printemps),2020,TIFF,,,,,
tt12971692,The Archivists,2020,TIFF,,,,,
tt12971578,Aniksha,2020,TIFF,,,,,
tt9561918,Sing Me a Lullaby,2020,TIFF,,,,,
tt12974900,RKLSS,2020,TIFF,,,,,
tt12974812,Black Bodies,2020,TIFF,,,,,
tt12660466,Scars,2020,TIFF,,,,,
tt12974252,Found Me,2020,TIFF,,,,,
tt12974856,Dustin,2020,TIFF,,,,,
tt12744422,History of Civilization,2020,TIFF,,,,,
tt8448860,Stephanie,2020,TIFF,,,,,
tt12723524,In Sudden Darkness,2020,TIFF,,,,,
tt11638406,Mountain Cat,2020,TIFF,,,,,
tt12974890,Pilar,2020,TIFF,,,,,
tt12974868,Das Spiel,2020,TIFF,,,,,
tt12974886,"Navozande, the Musician",2020,TIFF,,,,,
tt12974908,Sër Bi (Les tissus blancs),2020,TIFF,,,,,
tt12974818,David,2020,TIFF,,,,,
tt12626334,Marlon Brando,2020,TIFF,,,,,
tt9146020,Tie,2020,TIFF,,,,,
tt12974878,Loose Fish,2020,TIFF,,,,,
tt12853610,Our Hearts Beat Like War,2020,TIFF,,,,,
tt12974894,The Price of Cheap Rent,2020,TIFF,,,,,
tt12974850,Drought,2020,TIFF,,,,,
tt11698640,O Black Hole!,2020,TIFF,,,,,
tt8890058,Angelfish,2020,TIFF,,,,,
tt12444572,Beginning,2020,TIFF,,,,,
tt9691136,Shadow in the Cloud,2020,TIFF,,,,,
tt10676042,Downstream to Kinshasa,2020,TIFF,,,,,
tt11423784,The Disciple,2020,TIFF,,,,,
tt12789558,Belfast,2021,TIFF,,,,,
tt10293406,The Power of the Dog,2021,TIFF,,,,,
tt9098872,The Rescue,2021,TIFF,,,,,
tt7178990,Comala,2021,TIFF,,,,,
tt10944760,Titane,2021,TIFF,,,,,
tt9860858,"Costa Brava, Lebanon",2021,TIFF,,,,,
tt13834788,Yuni,2021,TIFF,,,,,
tt10951972,Arthur Rambo,2021,TIFF,,,,,
tt11051898,Drunken Birds,2021,TIFF,,,,,
tt10062338,Earwig,2021,TIFF,,,,,
tt11897340,Huda's Salon,2021,TIFF,,,,,
tt13622884,Good Madam,2021,TIFF,,,,,
tt13656980,Montana Story,2021,TIFF,,,,,
tt15211080,Silent Land,2021,TIFF,,,,,
tt14528962,Trumpets in the Sky,2021,TIFF,,,,,
tt15392132,Nuisance Bear,2021,TIFF,,,,,
tt13833710,The Shaman's Apprentice,2021,TIFF,,,,,
tt15220980,Together,2021,TIFF,,,,,
tt15397748,Boobs,2021,TIFF,,,,,
tt15244314,Dust Bath,2021,TIFF,,,,,
tt15398466,Meneath: The Hidden Island of Ethics,2021,TIFF,,,,,
tt15345668,Bhai,2021,TIFF,,,,,
tt15340244,Defund,2021,TIFF,,,,,
tt15207664,Ousmane,2021,TIFF,,,,,
tt15398686,Zero,2021,TIFF,,,,,
tt14081930,Fanmi,2021,TIFF,,,,,
tt15246156,Little Bird,2021,TIFF,,,,,
tt15011242,The Syed Family Xmas Eve Game Night,2021,TIFF,,,,,
tt15398680,Saturday Night,2021,TIFF,,,,,
tt14865594,Twelve Hours,2021,TIFF,,,,,
tt14717664,Displaced,2021,TIFF,,,,,
tt14135824,Motorcyclist's Happiness Won't Fit Into His Suit,2021,TIFF,,,,,
tt14899008,Soft Animals,2021,TIFF,,,,,
tt14812800,Sycorax,2021,TIFF,,,,,
tt14836958,I Gotta Look Good for the Apocalypse,2021,TIFF,,,,,
tt14894894,Hanging On,2021,TIFF,,,,,
tt14972316,"Love, Dad",2021,TIFF,,,,,
tt15398792,The Future Isn't What It Used To Be,2021,TIFF,,,,,
tt13071528,A Few Miles South,2021,TIFF,,,,,
tt15398110,Masquerade,2021,TIFF,,,,,
tt15398290,I Would Never,2021,TIFF,,,,,
tt15215502,Charlotte,2021,TIFF,,,,,
tt15398848,White Devil,2021,TIFF,,,,,
tt15398742,Some Still Search,2021,TIFF,,,,,
tt11090806,You and Me Before and After,2021,TIFF,,,,,
tt15073242,Beity,2021,TIFF,,,,,
tt13986830,Successful Thawing of Mr. Moro,2021,TIFF,,,,,
tt15239576,Shark,2021,TIFF,,,,,
tt15397592,Astel,2021,TIFF,,,,,
tt11426664,Anatolian Leopard,2021,TIFF,,,,,
tt9568230,Night Raiders,2021,TIFF,,,,,
tt9310606,The Odd-Job Men,2021,TIFF,,,,,
tt9056484,The Other Tom,2021,TIFF,,,,,
tt6170406,Dionne Warwick: Don't Make Me Over,2021,TIFF,,,,,
tt12890988,Scarborough,2021,TIFF,,,,,
tt4440842,The Gravedigger's Wife,2021,TIFF,,,,,
tt14091768,Ste. Anne,2021,TIFF,,,,,
tt14812784,A Night of Knowing Nothing,2021,TIFF,,,,,
tt14225832,Reflection,2021,TIFF,,,,,
tt12490110,Domingo,2021,TIFF,,,,,
tt8147656,Cool Abdoul,2021,TIFF,,,,,
tt13045832,The Eagle's Nest,2021,TIFF,,,,,
tt14208870,The Fabelmans,2022,TIFF,,,,,
tt13669038,Women Talking,2022,TIFF,,,,,
tt11564570,Glass Onion,2022,TIFF,,,,,
tt15144270,Black Ice,2022,TIFF,,,,,
tt21998498,Maya and the Wave,2022,TIFF,,,,,
tt19816018,752 Is Not a Number,2022,TIFF,,,,,
tt21820452,The Grab,2022,TIFF,,,,,
tt17076046,Weird: The Al Yankovic Story,2022,TIFF,,,,,
tt18925334,Pearl,2022,TIFF,,,,,
tt11703244,The Blackening,2022,TIFF,,,,,
tt21651560,V/H/S/99,2022,TIFF,,,,,
tt16226770,Same Old,2022,TIFF,,,,,
tt21047794,Sweet As,2022,TIFF,,,,,
tt13456340,Riceboy Sleeps,2022,TIFF,,,,,
tt12374656,Emily,2022,TIFF,,,,,
tt18990128,The Gravity,2022,TIFF,,,,,
tt10928202,Hawa,2022,TIFF,,,,,
tt21440780,How to Blow Up a Pipeline,2022,TIFF,,,,,
tt13920920,Subtraction,2022,TIFF,,,,,
tt12390508,Thunder,2022,TIFF,,,,,
tt21440560,Viking,2022,TIFF,,,,,
tt21637282,Charcoal,2022,TIFF,,,,,
tt21638044,Tora's Husband,2022,TIFF,,,,,
tt21862252,She Always Wins,2022,TIFF,,,,,
tt21797282,AirHostess-737,2022,TIFF,,,,,
tt21247140,Simo,2022,TIFF,,,,,
tt20240228,The Flying Sailor,2022,TIFF,,,,,
tt17275592,Lay Me by the Shore,2022,TIFF,,,,,
tt21631716,Canary,2022,TIFF,,,,,
tt21424578,À la vie à l'amor,2022,TIFF,,,,,
tt18231784,No Ghost in the Morgue,2022,TIFF,,,,,
tt16117166,Scaring Women at Night,2022,TIFF,,,,,
tt13142278,Pleasure Garden,2022,TIFF,,,,,
tt21853554,Municipal Relaxation Module,2022,TIFF,,,,,
tt21920446,Snow in September,2022,TIFF,,,,,
tt20112734,Backflip,2022,TIFF,,,,,
tt11542496,O Homem do Lixo,2022,TIFF,,,,,
tt19781688,Ice Merchants,2022,TIFF,,,,,
tt11854700,I'm on Fire,2022,TIFF,,,,,
tt14998762,Gary Screams for You,2022,TIFF,,,,,
tt20215392,Le pupille,2022,TIFF,,,,,
tt19844654,Hai Bian Sheng Qi Yi Zuo Xuan Ya,2022,TIFF,,,,,
tt19396182,The Pass,2022,TIFF,,,,,
tt19781766,Las criaturas que se derriten bajo el sol,2022,TIFF,,,,,
tt21350418,Liturgy of Anti-Tank Obstacles,2022,TIFF,,,,,
tt20223392,Beben,2022,TIFF,,,,,
tt21924626,Todo Incluido,2022,TIFF,,,,,
tt22005940,Rest Stop,2022,TIFF,,,,,
tt21879724,Baba,2022,TIFF,,,,,
tt22005990,Anastasia,2022,TIFF,,,,,
tt22006118,Against Reality,2022,TIFF,,,,,
tt22005922,Nanitic,2022,TIFF,,,,,
tt11575358,A Gaza Weekend,2022,TIFF,,,,,
tt6875952,Carmen,2022,TIFF,,,,,
tt20516932,The Umbrella Men,2022,TIFF,,,,,
tt21413834,Something You Said Last Night,2022,TIFF,,,,,
tt16377714,Leonor Will Never Die,2022,TIFF,,,,,
tt21818816,While We Watched,2022,TIFF,,,,,
tt21688772,To Kill a Tiger,2022,TIFF,,,,,
tt17520962,Without Her,2022,TIFF,,,,,
tt13139228,My Policeman,2022,TIFF,,,,,
tt23561236,American Fiction,2023,TIFF,,,,,
tt14849194,The Holdovers,2023,TIFF,,,,,
tt6587046,The Boy and the Heron,2023,TIFF,,,,,
tt12277540,Mr. Dressup: The Magic of Make-Believe,2023,TIFF,,,,,
tt21806358,Summer Qamp,2023,TIFF,,,,,
tt28448182,Mountain Queen: The Summits of Lhakpa Sherpa,2023,TIFF,,,,,
tt27531514,In the Rearview,2023,TIFF,,,,,
tt28581313,God Is a Woman,2023,TIFF,,,,,
tt7130916,Dicks: The Musical,2023,TIFF,,,,,
tt28259207,Kill,2023,TIFF,,,,,
tt21267296,Hell of a Summer,2023,TIFF,,,,,
tt11678912,Working Class Goes to Hell,2023,TIFF,,,,,
tt28554013,Naga,2023,TIFF,,,,,
tt28534120,Achilles,2023,TIFF,,,,,
tt15495540,Without Air,2023,TIFF,,,,,
tt27715185,Solo,2023,TIFF,,,,,
tt26248528,A Match,2023,TIFF,,,,,
tt26542557,Dear Jassi,2023,TIFF,,,,,
tt21942866,Dream Scenario,2023,TIFF,,,,,
tt28568332,Great Absence,2023,TIFF,,,,,
tt18233134,I Told You So,2023,TIFF,,,,,
tt6632018,The King Tide,2023,TIFF,,,,,
tt28542205,Not a Word,2023,TIFF,,,,,
tt13866710,Sisterhood,2023,TIFF,,,,,
tt21909836,Shame on Dry Land,2023,TIFF,,,,,
tt26006816,Spirit of Ecstasy,2023,TIFF,,,,,
tt21920634,The Rye Horn,2023,TIFF,,,,,
tt28624863,Motherland,2023,TIFF,,,,,
tt28320453,Meteor,2023,TIFF,,,,,
tt27051815,Gaby les collines,2023,TIFF,,,,,
tt26818913,Les Patins,2023,TIFF,,,,,
tt27159536,Bloom,2023,TIFF,,,,,
tt28667868,Redlights,2023,TIFF,,,,,
tt28207603,Aftercare,2023,TIFF,,,,,
tt28285666,Faire un enfant,2023,TIFF,,,,,
tt28670290,Mothers and Monsters,2023,TIFF,,,,,
tt28670305,Express,2023,TIFF,,,,,
tt28670320,Lake Baikal,2023,TIFF,,,,,
tt28670486,Aphasie,2023,TIFF,,,,,
tt28298460,I Used to Live There,2023,TIFF,,,,,
tt27304412,This Is Not About Swimming,2023,TIFF,,,,,
tt28670609,"Xie Xie, Ollie",2023,TIFF,,,,,
tt28670680,6 Minutes Per Kilometer,2023,TIFF,,,,,
tt28670721,Modern Goose,2023,TIFF,,,,,
tt28669515,All the Days of May,2023,TIFF,,,,,
tt27683631,Electra,2023,TIFF,,,,,
tt13021784,27,2023,TIFF,,,,,
tt27770907,La Perra,2023,TIFF,,,,,
tt27658383,Intrusion,2023,TIFF,,,,,
tt24656910,Shé (Snake),2023,TIFF,,,,,
tt28365411,Been There,2023,TIFF,,,,,
tt28669414,"Titanic, noskhe monaseb baraye khanevadehaye irani",2023,TIFF,,,,,
tt28670640,The Heart,2023,TIFF,,,,,
tt28669319,This is TMI,2023,TIFF,,,,,
tt28101297,Nun or Never!,2023,TIFF,,,,,
tt28293679,The Passing,2023,TIFF,,,,,
tt28667608,1001 noc,2023,TIFF,,,,,
tt28670268,Alberto and the Beast,2023,TIFF,,,,,
tt27803294,"Mboa Matanda, le tournoi des rois",2023,TIFF,,,,,
tt27689988,Nada de todo esto,2023,TIFF,,,,,
tt28667599,Primetime Mother,2023,TIFF,,,,,
tt28294769,Dammi,2023,TIFF,,,,,
tt28669570,Bird,2023,TIFF,,,,,
tt28670255,Human Resources,2023,TIFF,,,,,
tt23742932,Woaca,2023,TIFF,,,,,
tt28500137,Pássaro Memória,2023,TIFF,,,,,
tt28670453,Sawo Matang,2023,TIFF,,,,,
tt28326526,"O gün bu gündür, uçuyorum",2023,TIFF,,,,,
tt28670766,Sheephead,2023,TIFF,,,,,
tt23642420,Seagrass,2023,TIFF,,,,,
tt18688552,Kanaval,2023,TIFF,,,,,
tt28639049,We Grown Now,2023,TIFF,,,,,
tt28679280,What We See,2023,TIFF,,,,,
tt26594993,Amelia's Children,2023,TIFF,,,,,
tt12908150,The Life of Chuck,2024,TIFF,,,,,
tt20221436,Emilia Pérez,2024,TIFF,,,,,
tt28607951,Anora,2024,TIFF,,,,,
tt22023622,To a Land Unknown,2024,TIFF,,,,,
tt18691614,Anywhere Anytime,2024,TIFF,,,,,
tt31350080,April,2024,TIFF,,,,,
tt32890130,Under the Volcano,2024,TIFF,,,,,
tt19783734,U Are the Universe,2024,TIFF,,,,,
tt33312360,The Tragically Hip: No Dress Rehearsal,2024,TIFF,,,,,
tt30321133,Will & Harper,2024,TIFF,,,,,
tt33084872,Your Tomorrow,2024,TIFF,,,,,
tt17044840,Tata,2024,TIFF,,,,,
tt17526714,The Substance,2024,TIFF,,,,,
tt17079606,Dead Talents Society,2024,TIFF,,,,,
tt30505698,Friendship,2024,TIFF,,,,,
tt33035860,Les courageux,2024,TIFF,,,,,
tt33035283,Ink Wash,2024,TIFF,,,,,
tt32424927,Village Keeper,2024,TIFF,,,,,
tt29634258,Shepherds,2024,TIFF,,,,,
tt33292146,Katabasis,2024,TIFF,,,,,
tt14093994,The Last of the Sea Women,2024,TIFF,,,,,
tt22208340,In the Fire of War,2024,TIFF,,,,,
tt32238611,Bound in Heaven,2024,TIFF,,,,,
tt31464877,Saba,2024,TIFF,,,,,
tt33317291,Quota,2024,TIFF,,,,,
tt33087322,Are You Scared to Be Yourself Because You Think That You Might Fail?,2024,TIFF,,,,,
tt33099535,Before They Joined Us,2024,TIFF,,,,,
tt33086973,Fantas,2024,TIFF,,,,,
tt29520774,The Best,2024,TIFF,,,,,
tt32601294,Maybe Elephants,2024,TIFF,,,,,
tt32205767,Perfectly a Strangeness,2024,TIFF,,,,,
tt33015167,Who Loves the Sun,2024,TIFF,,,,,
tt32444952,One Day This Kid,2024,TIFF,,,,,
tt12429712,On a Sunday at Eleven,2024,TIFF,,,,,
tt33317303,The Wolf,2024,TIFF,,,,,
tt32144500,Alazar,2024,TIFF,,,,,
tt33317127,Inkwo for When the Starving Return,2024,TIFF,,,,,
tt33317081,Welima'q,2024,TIFF,,,,,
tt30495767,Julian and the Wind,2024,TIFF,,,,,
tt32480506,Mercenaire,2024,TIFF,,,,,
tt33096238,Solemates,2024,TIFF,,,,,
tt33317061,Däck 5B,2024,TIFF,,,,,
tt30751010,Silent Panorama,2024,TIFF,,,,,
tt32205774,Amarela,2024,TIFF,,,,,
tt29869027,Aïda Non Plus,2024,TIFF,,,,,
tt33091593,The Beguiling,2024,TIFF,,,,,
tt32810843,The Cost of Hugging,2024,TIFF,,,,,
tt32365707,O,2024,TIFF,,,,,
tt32342056,Percebes,2024,TIFF,,,,,
tt32144480,Sauna Day,2024,TIFF,,,,,
tt33131401,Never Have I Ever,2024,TIFF,,,,,
tt32205738,Rrugës,2024,TIFF,,,,,
tt32923607,"Wrecked a Bunch of Cars, Had a Good Time",2024,TIFF,,,,,
tt32875105,The Yellow,2024,TIFF,,,,,
tt32897626,1 hijo & 1 padre,2024,TIFF,,,,,
tt32560209,La Voix des Sirènes,2024,TIFF,,,,,
tt28632018,Stomach Bug,2024,TIFF,,,,,
